2_y,
Time,Acceleration
TIME,ACCEL
5.26,-1.827371161
5.265,-1.867382293
5.27,-1.905235962
5.275,-1.915434878
5.28,-1.925045395
5.285,-1.905137896
5.29,-1.869539756
5.295,-1.795695682
5.3,-1.719007679
5.305,-1.616233987
5.31,-1.509537635
5.315,-1.389602305
5.32,-1.264959784
5.325,-1.130510612
5.33,-0.994590443
5.335,-0.859131187
5.34,-0.721494854
5.345,-0.595803021
5.35,-0.469424722
5.355,-0.358540931
5.36,-0.244244425
5.365,-0.157788999
5.37,-0.069807657
5.375,-0.014435389
5.38,0.042287255
5.385,0.064661127
5.39,0.087793053
5.395,0.076696829
5.4,0.066570482
5.405,0.02604254
5.41,-0.0137146
5.415,-0.079048464
5.42,-0.143520323
5.425,-0.217217298
5.43,-0.2903651
5.435,-0.371358222
5.44,-0.450233108
5.445,-0.533736733
5.45,-0.617328618
5.455,-0.700763596
5.46,-0.78456142
5.465,-0.861121937
5.47,-0.938368919
5.475,-1.001258965
5.48,-1.065198323
5.485,-1.107759184
5.49,-1.151692976
5.495,-1.168070082
5.5,-1.185623985
5.505,-1.170423678
5.51,-1.159538296
5.515,-1.111191512
5.52,-1.064609924
5.525,-0.983312796
5.53,-0.90405545
5.535,-0.795074149
5.54,-0.688446443
5.545,-0.55318332
5.55,-0.420518959
5.555,-0.27268371
5.56,-0.130448058
5.565,0.017010615
5.57,0.175803815
5.575,0.328395289
5.58,0.477564242
5.585,0.608659539
5.59,0.734557312
5.595,0.839704213
5.6,0.94146782
5.605,1.018420603
5.61,1.091872411
5.615,1.141690193
5.62,1.187977581
5.625,1.213965204
5.63,1.236324366
5.635,1.244463885
5.64,1.249073011
5.645,1.246817481
5.65,1.240933491
5.655,1.240933491
5.66,1.236324366
5.665,1.241129624
5.67,1.242404489
5.675,1.260546791
5.68,1.2751587
5.685,1.311149105
5.69,1.339980656
5.695,1.397055359
5.7,1.450795801
5.705,1.521207548
5.71,1.585441106
5.715,1.670464761
5.72,1.752350289
5.725,1.842179203
5.73,1.931223585
5.735,2.020366033
5.74,2.102153494
5.745,2.176291768
5.75,2.253077838
5.755,2.310054474
5.76,2.366246579
5.765,2.391449669
5.77,2.414985629
5.775,2.402825383
5.78,2.391351603
5.785,2.337807294
5.79,2.28328232
5.795,2.20061226
5.8,2.120884196
5.805,2.003400529
5.81,1.884641997
5.815,1.730873725
5.82,1.576811254
5.825,1.399801221
5.83,1.232205573
5.835,1.061471796
5.84,0.893758468
5.845,0.725270414
5.85,0.560724732
5.855,0.40418108
5.86,0.244116938
5.865,0.105931433
5.87,-0.0132125
5.875,-0.103116925
5.88,-0.191053155
5.885,-0.25110908
5.89,-0.304888749
5.895,-0.333112287
5.9,-0.360845493
5.905,-0.365474232
5.91,-0.369475345
5.915,-0.356285401
5.92,-0.342183438
5.925,-0.332180655
5.93,-0.319128004
5.935,-0.302839159
5.94,-0.287452525
5.945,-0.281617568
5.95,-0.271026386
5.955,-0.271595172
5.96,-0.27081064
5.965,-0.285854041
5.97,-0.295356685
5.975,-0.323756743
5.98,-0.360266901
5.985,-0.416459006
5.99,-0.481506515
5.995,-0.565539699
6,-0.648376471
6.005,-0.747825709
6.01,-0.844293725
6.015,-0.951911902
6.02,-1.057647203
6.025,-1.175327003
6.03,-1.28888801
6.035,-1.43402643
6.04,-1.566514271
6.045,-1.697727248
6.05,-1.826978895
6.055,-1.950542685
6.06,-2.072145145
6.065,-2.183450623
6.07,-2.29279477
6.075,-2.38693861
6.08,-2.47912112
6.085,-2.550709665
6.09,-2.619846548
6.095,-2.664466805
6.1,-2.707125733
6.105,-2.721345375
6.11,-2.733505621
6.115,-2.715461385
6.12,-2.695455819
6.125,-2.645539971
6.13,-2.593858925
6.135,-2.515994124
6.14,-2.436167993
6.145,-2.335649831
6.15,-2.234151003
6.155,-2.12019773
6.16,-2.004871526
6.165,-1.886014928
6.17,-1.765197
6.175,-1.650361129
6.18,-1.53376006
6.185,-1.430397969
6.19,-1.326839745
6.195,-1.247209747
6.2,-1.167089417
6.205,-1.108053384
6.21,-1.047546353
6.215,-1.012634679
6.22,-0.975791095
6.225,-0.95329464
6.23,-0.929601773
6.235,-0.912606849
6.24,-0.894042861
6.245,-0.874615887
6.25,-0.856807011
6.255,-0.825249211
6.26,-0.794407297
6.265,-0.741019894
6.27,-0.688868129
6.275,-0.612621426
6.28,-0.547593529
6.285,-0.452204245
6.29,-0.356216755
6.295,-0.228838178
6.3,-0.102832532
6.305,0.050341457
6.31,0.190788376
6.315,0.338692271
6.32,0.487155145
6.325,0.645120664
6.33,0.80622431
6.335,0.964130988
6.34,1.097364135
6.345,1.223771854
6.35,1.349591173
6.355,1.462171515
6.36,1.564552941
6.365,1.652518592
6.37,1.73185439
6.375,1.789223293
6.38,1.841786937
6.385,1.874835347
6.39,1.899155839
6.395,1.883072933
6.4,1.864146099
6.405,1.829626691
6.41,1.795009216
6.415,1.746466299
6.42,1.694000721
6.425,1.639769947
6.43,1.573182793
6.435,1.505320775
6.44,1.431378634
6.445,1.34939504
6.45,1.270353441
6.455,1.192096374
6.46,1.114918039
6.465,1.036464839
6.47,0.960777114
6.475,0.883628198
6.48,0.809058432
6.485,0.735694883
6.49,0.671196546
6.495,0.604423066
6.5,0.539738403
6.505,0.472611883
6.51,0.409594351
6.515,0.354657497
6.52,0.301299515
6.525,0.246911834
6.53,0.195220982
6.535,0.151453903
6.54,0.109530474
6.545,0.075817172
6.55,0.043923005
6.555,0.01805012
6.56,-0.001894841
6.565,-0.015210114
6.57,-0.026619171
